store_id,total_sales,unique_customers,product_diversity,fuel_transactions,total_transactions,fuel_share,chain_size,store_name,store_chain_id,store_chain_name,street_address,city,zip_code,latitude,longitude,log_customers,log_sales,log_products,log_chain_size,cluster,subcategory,purchase_count
14703,74.046875,2,2,2,2,1,27,Gas N Wash Saul Trail,937,Gas N Wash,1445 Sauk Trail,Sauk Village,60411,41.487087,-87.5788353,1.0986122886681098,4.318112918305152,1.0986122886681098,3.332204510175204,1,Premium/Super Premium,14
14704,56.572677000000006,1,1,1,1,1,3,Save-A-Ton #1,7157,Om Corporation,5701 TN-153,Chattanooga,37343,35.152068,-85.249486,0.6931471805599453,4.05304809751978,0.6931471805599453,1.3862943611198906,1,Premium/Super Premium,14
14706,44.571417000000004,1,1,1,1,1,3,Save-A-Ton #3,7157,Om Corporation,7400 E Brainerd Rd,Chattanooga,37421,35.0146054,-85.1637538,0.6931471805599453,3.819280699811004,0.6931471805599453,1.3862943611198906,1,Premium/Super Premium,14
14714,165.650618,2,1,3,3,1,8,RS #3,7163,Royal Seven,110 John Williams Pkwy,McDonough,30252,33.3916949,-84.1367526,1.0986122886681098,5.11589951311771,0.6931471805599453,2.1972245773362196,1,Premium/Super Premium,14
14715,81.550926,1,1,1,1,1,8,RS #2,7163,Royal Seven,3342 Hwy 81,McDonough,30252,33.434446,-84.043812,0.6931471805599453,4.413415387747196,0.6931471805599453,2.1972245773362196,1,Premium/Super Premium,14
14719,1123.17597,6,2,16,16,1,8,RS #1,7163,Royal Seven,3128 GA-36,Jackson,30233,33.2057523,-84.0625791,1.9459101490553132,7.024805575139379,1.0986122886681098,2.1972245773362196,2,Premium/Super Premium,317
14720,108.98223899999999,2,2,2,2,1,8,RS #8,7163,Royal Seven,500 Jonesboro Rd,McDonough,30253,33.4582759,-84.1741347,1.0986122886681098,4.700318889119396,1.0986122886681098,2.1972245773362196,1,Premium/Super Premium,14
14722,89.64907500000001,2,1,4,2,2,2,weeksville grocery,6534,Lakulesh Inc,1109 Salem Church Rd,Elizabeth City,27909,36.2073889,-76.1766984,1.0986122886681098,4.506995733067166,0.6931471805599453,1.0986122886681098,1,Premium/Super Premium,14
14723,124.19877,2,2,4,3,1.3333333333333333,1,Peachtree St Amoco,7166,Peachtree Amoco,347 W 3rd St,Jackson,30233,33.2941128,-83.9695292,1.0986122886681098,4.829902634336589,1.0986122886681098,0.6931471805599453,1,Premium/Super Premium,14
14725,314.87952,5,1,6,6,1,1,WESTMONT BP,7168,ITTY CORP,200 E 55th St,Westmont,60559,41.7886454,-87.9698684,1.791759469228055,5.755360875063834,0.6931471805599453,0.6931471805599453,1,Premium/Super Premium,14
