rent,hhincome,foodstmp,state_fip,county_fip,pernum
0,23830,1,04,04001,911
0,9999999,0,04,04001,912
0,19000,0,04,04001,913
0,35000,1,04,04001,914
0,9999999,0,04,04001,915
0,0,1,04,04001,916
0,8400,1,04,04001,917
0,50200,0,04,04001,918
0,9999999,0,04,04001,919
0,0,0,04,04001,920
0,115000,0,04,04001,921
0,240,1,04,04001,922
0,9999999,0,04,04001,923
0,9999999,0,04,04001,924
0,58800,0,04,04001,925
0,22000,1,04,04001,926
0,9999999,0,04,04001,927
0,9999999,0,04,04001,928
0,13200,0,04,04001,929
0,77300,0,04,04001,930
0,9999999,0,04,04001,931
0,38900,0,04,04001,932
0,9999999,0,04,04001,933
0,125700,0,04,04001,934
400,115000,1,04,04001,935
0,58300,0,04,04001,936
0,9999999,0,04,04001,937
290,23000,0,04,04001,938
0,9999999,0,04,04001,939
0,9999999,0,04,04001,940
0,9999999,0,04,04001,941
0,9999999,0,04,04001,942
0,50000,0,04,04001,943
0,9999999,0,04,04001,944
0,9999999,0,04,04001,945
0,79300,0,04,04001,946
0,15600,1,04,04001,947
0,96000,1,04,04001,948
0,9999999,0,04,04001,949
0,9999999,0,04,04001,950
0,38000,0,04,04001,951
0,9999999,0,04,04001,952
0,9999999,0,04,04001,953
0,15600,0,04,04001,954
0,9999999,0,04,04001,955
0,70300,0,04,04001,956
0,123000,0,04,04001,957
30,0,1,04,04001,958
0,9999999,0,04,04001,959
300,14800,0,04,04001,960
0,9999999,0,04,04001,961
0,9999999,0,04,04001,962
0,9999999,0,04,04001,963
0,146900,0,04,04001,964
