placekey,raw_visitor_counts,distance_from_home,median_dwell,cluster,location_name,top_category,sub_category,latitude,longitude,city,region,pred_sub_category
222-222@8tt-7yy-4n5,2.6390573296152584,9.123801610558944,2.1972245773362196,2,Wilson Batiz,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,31.385559,-110.94637,Nogales,AZ,Supermarkets and Other Grocery (except Convenience) Stores
zzw-223@8ts-zkx-w49,4.6443908991413725,8.047829357457841,2.9444389791664403,1,Fry's Food & Drug Stores,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,33.414135,-111.54374,Apache Junction,AZ,Supermarkets and Other Grocery (except Convenience) Stores
zzy-222@5z9-7pt-vj9,4.6913478822291435,8.804325112562537,2.833213344056216,1,London Bridge Shore Store,Grocery Stores,Convenience Stores,34.46397,-114.34217,Lake Havasu City,AZ,Supermarkets and Other Grocery (except Convenience) Stores
222-222@5zb-xg6-nt9,6.2766434893416445,8.577347114235984,2.772588722239781,1,Food City Arizona,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,33.61853,-112.32594,El Mirage,AZ,Supermarkets and Other Grocery (except Convenience) Stores
222-222@5z9-hz5-rzf,4.727387818712341,9.071882578828616,2.302585092994046,2,Best Buy Market,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,34.898518,-114.59735,Mohave Valley,AZ,Supermarkets and Other Grocery (except Convenience) Stores
zzy-224@5zb-xcj-ty9,4.02535169073515,8.131824785007195,2.1972245773362196,1,Supercarneceria La Hereford 2,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,33.56699,-112.06441,Phoenix,AZ,Convenience Stores
zzw-222@5zb-wx6-3h5,5.739792912179234,8.537387898701757,2.1972245773362196,1,Circle K,Grocery Stores,Convenience Stores,33.64016,-112.01744,Phoenix,AZ,Convenience Stores
222-223@8sc-xnk-3wk,6.812345094177479,9.323133199451306,1.9459101490553132,2,Shay Oil Co Self Serve 32,Grocery Stores,Convenience Stores,32.670643,-114.52249,Yuma,AZ,Convenience Stores
zzw-222@5zb-xn6-rhq,6.48768401848461,8.903407519932264,2.6390573296152584,1,Trader Joe's,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,33.583313,-111.97901,Phoenix,AZ,Supermarkets and Other Grocery (except Convenience) Stores
22b-222@8th-b9p-ghq,3.332204510175204,9.582455500402792,2.4423470353692043,2,Sunshine Herbs,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,34.250755,-110.03112,Show Low,AZ,Supermarkets and Other Grocery (except Convenience) Stores
222-222@8td-8yn-2kz,4.04305126783455,10.598757478477053,1.9459101490553132,2,Three Way Store,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,32.948078,-109.22948,Duncan,AZ,Convenience Stores
222-222@8tr-zb8-tn5,6.063785208687608,8.446126742982377,1.791759469228055,1,Circle K,Grocery Stores,Convenience Stores,32.35955,-111.04614,Tucson,AZ,Convenience Stores
223-222@8ts-zrw-xwk,5.645446897643238,7.892078421248119,2.70805020110221,1,Albertsons,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,33.465061,-111.68182,Mesa,AZ,Supermarkets and Other Grocery (except Convenience) Stores
222-222@8ts-3jx-mc5,5.225746673713202,9.271153211372695,1.791759469228055,2,Circle K,Grocery Stores,Convenience Stores,32.140045,-110.83985,Tucson,AZ,Convenience Stores
